FIPS,AlGore_Dem_2000,pct_dem_2000,GeorgeWBush_Rep_2000,pct_rep_2000,RalphNader_Green_2000,pct_green_2000,Other_2000,pct_other_2000,totalvotes_2000,JohnKerry_Dem_2004,pct_dem_2004,GeorgeWBush_Rep_2004,pct_rep_2004,Other_2004,pct_other_2004,totalvotes_2004,Obama_Dem_2008,pct_dem_2008,McCain_Rep_2008,pct_rep_2008,Other_2008,pct_other_2008,totalvotes_2008,Obama_Dem_2012,pct_dem_2012,Romney_Rep_2012,pct_rep_2012,Other_2012,pct_other_2012,totalvotes_2012,Clinton_Dem_2016,pct_dem_2016,Trump_Rep_2016,pct_rep_2016,Other_2016,pct_other_2016,totalvotes2016,dem_2020,pct_dem_2020,gop_2020,pct_gop_2020,total_votes_2020
35057,1868,0.376612903,2891,0.582862903,163,0.032862903,38,0.00766129,4960,2386,0.366682035,4026,0.618718303,95,0.014599662,6507,3087,0.444748595,3735,0.538106901,119,0.017144504,6941,2428,0.379256482,3529,0.551233989,445,0.069509528,6402,1785,0.282258065,3714,0.587286528,825,0.130455408,6324,2344,0.32193381,4772,0.65540445,7281
25007,5474,0.618112014,2315,0.261404697,983,0.110998193,84,0.009485095,8856,7265,0.726718015,2602,0.260278083,130,0.013003901,9997,7913,0.74983417,2442,0.231403392,198,0.018762437,10553,7978,0.727388767,2792,0.254558716,198,0.018052516,10968,8400,0.730307773,2477,0.215353852,625,0.054338376,11502,1394.7144,0.77514893,369.71429,0.20547837,1799.2856
51141,2254,0.30521327,4901,0.663642519,101,0.013676371,129,0.01746784,7385,2572,0.313085819,5507,0.670359099,136,0.016555082,8215,2879,0.337475091,5491,0.643652561,161,0.018872348,8531,2417,0.292650442,5622,0.680711951,220,0.026637607,8259,1768,0.207390029,6454,0.757067449,303,0.035542522,8525,1954,0.20495071,7485,0.78508496,9534
26089,4635,0.38596053,6840,0.56957282,456,0.037971521,78,0.006495129,12009,6048,0.434576417,7733,0.555651362,136,0.009772221,13917,7355,0.508503872,6938,0.479673673,171,0.011822456,14464,6576,0.463882619,7483,0.527863995,117,0.008253386,14176,6774,0.45903639,7239,0.490546859,744,0.050416751,14757,8793,0.51937389,7915,0.46751329,16930
37093,5017,0.584595665,3439,0.400722442,NA,0,126,0.014681892,8582,5794,0.522546898,5257,0.474116162,37,0.003336941,11088,9227,0.590452422,6293,0.402700454,107,0.006847124,15627,10076,0.589619053,6819,0.399028615,194,0.011352332,17089,9726,0.533516182,7760,0.425671969,744,0.040811849,18230,12036,0.54515809,9682,0.43853611,22078
1013,3606,0.46212995,4127,0.528899141,36,0.00461361,34,0.004357298,7803,3413,0.405537072,4979,0.591611217,24,0.002851711,8416,4188,0.431352353,5485,0.564939747,36,0.0037079,9709,4374,0.460614996,5087,0.535699242,35,0.003685762,9496,3726,0.426706367,4901,0.561268896,105,0.012024737,8732,3953,0.41759983,5448,0.57553351,9466
20205,1186,0.28962149,2748,0.671062271,100,0.024420024,61,0.014896215,4095,1060,0.241018645,3263,0.741928149,75,0.017053206,4398,1170,0.283911672,2850,0.691579714,101,0.024508614,4121,818,0.220069949,2825,0.760021523,74,0.019908528,3717,594,0.165413534,2788,0.776385408,209,0.058201058,3591,711,0.18235445,3111,0.79789692,3899
47049,2529,0.419472549,3417,0.566760657,28,0.00464422,55,0.009122574,6029,2371,0.353880597,4293,0.640746269,36,0.005373134,6700,1831,0.271702033,4789,0.710639561,119,0.017658406,6739,1561,0.226395939,5243,0.760406091,91,0.01319797,6895,1100,0.150006818,6038,0.823401064,195,0.026592118,7333,1210,0.13928859,7403,0.85219294,8687
55123,6577,0.504216498,5684,0.435755903,676,0.051824594,107,0.008203005,13044,7924,0.533782418,6774,0.456315258,147,0.009902324,14845,8463,0.601278863,5367,0.381314387,245,0.01740675,14075,8044,0.563739575,5942,0.41642722,283,0.019833205,14269,6352,0.446914796,6996,0.492225427,865,0.060859776,14213,7457,0.46869892,8216,0.51640475,15910
21011,2087,0.466577241,2303,0.51486698,49,0.010954617,34,0.007601163,4473,2608,0.530189063,2269,0.461272616,42,0.008538321,4919,2210,0.48646269,2234,0.491745543,99,0.021791768,4543,1770,0.429403202,2275,0.551916545,77,0.018680252,4122,1361,0.296708088,3082,0.671898845,144,0.031393067,4587,1573,0.27954504,3986,0.70837033,5627
