date,region,index,mean,median,lower_80,upper_80,symptomatic_onsets,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-06-13,MD,109,0.7907587251069644,0.7814087353947203,0.6218055639383804,0.9463992011866138,160.7863155734604,266.06104743302046,337.8608154860308,692.0,8663.0,8663.0,692.0,26.0
2020-06-14,MD,110,0.7890307914426019,0.777261973479348,0.6131233404775721,0.9481956156151834,155.0091130226864,255.33571269724143,255.6746278077768,396.0,6551.0,6551.0,396.0,13.0
2020-06-15,MD,111,0.7897674760470044,0.7763865936286719,0.5857370804999212,0.9333560505366671,149.57412095760998,245.0878424638427,241.42093687367503,331.0,5799.0,5799.0,331.0,8.0
2020-06-16,MD,112,0.7887306497805203,0.7750415614864383,0.6019662389274377,0.9595350967634304,144.42977303940074,235.31024953538773,196.44720318617283,377.0,8117.0,8117.0,377.0,35.0
2020-06-17,MD,113,0.790238551198247,0.7734042092677859,0.5903598126293604,0.9487426553559912,139.57904498136705,225.9929739200721,195.45965359789048,560.0,12118.0,12118.0,560.0,14.0
2020-06-18,MD,114,0.7922470128597354,0.7771360685705389,0.6155976601773391,0.9846482653169896,135.0283286091517,217.12470784857268,175.53039031974734,260.0,6265.0,6265.0,260.0,20.0
2020-02-27,VA,0,2.4072100026700185,2.39625926574646,1.970169225680114,2.7178077776005067,12.929419838542039,0.0,0.0,0.0,0.0,,,
2020-02-28,VA,1,2.4011569956218297,2.385791760847292,1.962622278902868,2.711355804862265,0.22045717088383016,0.0,0.0,0.0,0.0,,,
2020-02-29,VA,2,2.3906667385492013,2.3701402809948924,1.97469899077386,2.697186628117352,3.1271265126697414,0.0,0.0,0.0,0.0,,,
2020-03-01,VA,3,2.3971985938135543,2.3862904398629787,2.012760534058493,2.703544997473562,5.9758162866362605,0.7425627814618179,0.0,0.0,0.0,,,
2020-03-02,VA,4,2.397176038162464,2.3787116924071743,2.030624858845905,2.659680219978359,6.793933999129387,1.1615511869184507,0.0,0.0,0.0,,,
2020-03-03,VA,5,2.3982329205259094,2.3754316889008846,2.0424863734839187,2.6688430733349064,7.7058559230951165,1.4946929715434665,0.0,0.0,0.0,,,
2020-03-04,VA,6,2.3919503581822066,2.3822049925698066,2.0779785172743326,2.676920660693336,9.33777237397506,1.905402915876768,0.0,0.0,0.0,,,
2020-03-05,VA,7,2.394314260895808,2.3794059484719616,2.075151869488568,2.662287057490497,11.351986694545865,2.464108254958517,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,VA,8,2.387021273120157,2.3664261339017347,2.0745636987823337,2.6415439897075577,13.67999459888869,3.043532977594936,0.0,0.0,0.0,3.0,0.0,0.0
2020-03-07,VA,9,2.376139180651232,2.3443247614526173,2.1079436360344603,2.6091740357804762,16.48169606050674,3.8133872213887994,0.0,0.0,0.0,10.0,0.0,0.0
2020-03-08,VA,10,2.3630300853737465,2.327751452585028,2.135099314919794,2.627963378599937,19.882877800628016,4.597033703284595,2.881951577334644,2.0,6.0,7.0,2.0,0.0
2020-03-09,VA,11,2.3454518534615554,2.3280761723146304,2.106508965096371,2.5813985160632185,23.974041899360103,5.588971282657372,1.4409757886673218,1.0,6.0,3.0,1.0,0.0
2020-03-10,VA,12,2.3323699253155588,2.325384973949817,2.083912170632087,2.537056390619725,28.87219392949258,6.827399299330957,7.204878943336609,5.0,11.0,20.0,5.0,0.0
2020-03-11,VA,13,2.31365033651676,2.302953337565794,2.0844042766869197,2.507814566540965,34.72182261469998,8.226848590970048,1.4409757886673218,1.0,8.0,8.0,1.0,0.0
2020-03-12,VA,14,2.2868570275619904,2.280207143909049,2.064205973761176,2.487176469521034,41.7014372061542,9.952704960770786,11.527806309338574,8.0,65.0,65.0,8.0,0.0
2020-03-13,VA,15,2.252183962070131,2.248468341383824,2.03525004344208,2.4213954580527584,50.00408797822204,12.021540787906773,18.732685252675182,13.0,13.0,13.0,13.0,0.0
2020-03-14,VA,16,2.220040666215325,2.2199480172664194,2.0445677840995087,2.415486796201963,59.80999465708126,14.545890139432515,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,VA,17,2.1781445909591146,2.178362798842133,2.01079748913724,2.3530661513811157,71.30018956063418,17.510691922022374,21.61463683000983,15.0,261.0,261.0,15.0,1.0
2020-03-16,VA,18,2.1338214722006787,2.13189906676279,1.9723101370654281,2.307605678842855,84.69511152105821,21.074501059051496,8.645854732003931,6.0,81.0,81.0,6.0,0.0
2020-03-17,VA,19,2.0818154613844952,2.077825663682006,1.9047874661165125,2.2221077405553507,100.19507660629742,25.355499480637,23.05561261867715,16.0,539.0,539.0,16.0,0.0
2020-03-18,VA,20,2.0304634084830866,2.0254512682476613,1.853320647558592,2.1509658667495826,117.94546945830544,30.437250503260078,14.409757886673214,10.0,250.0,250.0,10.0,0.0
2020-03-19,VA,21,1.9733227836456009,1.9721338631208951,1.8441718764819568,2.117828079196606,138.11738316764894,36.45901141949685,24.49658840734447,17.0,645.0,645.0,17.0,1.0
2020-03-20,VA,22,1.9132270149176949,1.9116285396007304,1.7662621436614354,2.052804103118,160.77658674920832,43.584190253711746,28.819515773346435,20.0,402.0,402.0,20.0,0.0
2020-03-21,VA,23,1.854662546829416,1.860264594832384,1.708434576782846,1.9784001010498704,185.95805280519284,51.9247873856495,54.757079969358216,38.0,465.0,465.0,38.0,0.0
2020-03-22,VA,24,1.7945009691094105,1.7984624165956795,1.6735271708185266,1.922578562499292,213.5893433125713,61.6484095858455,96.54537784071056,67.0,547.0,547.0,67.0,1.0
2020-03-23,VA,25,1.7349058055311175,1.73971683931808,1.6217560430297533,1.868965995325916,243.57079923654226,72.91015264211569,50.434152603356274,35.0,360.0,360.0,35.0,3.0
2020-03-24,VA,26,1.6778793719258869,1.6764960813994858,1.5462311512601743,1.7941700719410103,275.7294304550846,85.85822940364801,51.87512839202359,36.0,773.0,773.0,36.0,1.0
2020-03-25,VA,27,1.6148110560798852,1.6136283057901064,1.487282122361968,1.7216361763476518,309.79162692664374,100.60838932648312,145.53855465539948,101.0,900.0,900.0,101.0,2.0
2020-03-26,VA,28,1.5627608020077373,1.5644419511905474,1.4526698289254705,1.6771049332503039,345.44701110108787,117.26970119533772,99.42732941804519,69.0,819.0,819.0,69.0,4.0
2020-03-27,VA,29,1.5111123876320165,1.5105088377086726,1.4122278406846205,1.6294730404913231,382.1564516754199,135.91580331537048,207.50051356809442,144.0,1148.0,1148.0,144.0,1.0
2020-03-28,VA,30,1.4631909823882745,1.4649490082874532,1.3532369105281117,1.562969534317906,419.5446775333637,156.5921529986106,194.53173147008846,135.0,1829.0,1829.0,135.0,3.0
2020-03-29,VA,31,1.4164386720808284,1.4168915526030037,1.3118197722914409,1.5221783862660263,457.3086300690613,179.2919794023359,217.5873440887656,151.0,1443.0,1443.0,151.0,5.0
2020-03-30,VA,32,1.3775799455194424,1.3785522362521705,1.2887710195425606,1.4860972707312208,495.03023964479377,203.9701115739477,187.32685252675185,130.0,1429.0,1429.0,130.0,3.0
2020-03-31,VA,33,1.3379479298386403,1.3337394339817523,1.248207430144623,1.4356827679666933,532.2322975979461,230.5199730533891,331.4244313934841,230.0,1363.0,1363.0,230.0,2.0
2020-04-01,VA,34,1.3019811865750828,1.3029767129973615,1.2155279295904051,1.4052778693658332,568.6588563289278,258.80293487501154,337.1883345481533,234.0,1943.0,1943.0,234.0,7.0
2020-04-02,VA,35,1.2737218937037884,1.2725907199433664,1.1695693213914031,1.3550551443394745,604.0026043883537,288.6407668445708,319.89662508414546,222.0,2245.0,2245.0,222.0,7.0
2020-04-03,VA,36,1.243686344000022,1.2427102873732725,1.1578233249082328,1.3287008222981207,637.8727389875837,319.82000534201507,440.9385913322005,306.0,1416.0,1416.0,306.0,5.0
