postal_code,FIPS,dem,gop,total
ID,16019,14254,37805,53995
ID,16021,1220,4937,6313
ID,16023,188,1202,1415
ID,16025,149,507,754
ID,16027,25881,61759,90438
ID,16029,431,2906,3416
ID,16031,1464,7907,9629
ID,16033,41,264,311
ID,16035,877,3453,4419
ID,16037,603,2089,2737
ID,16039,2601,7246,10205
ID,16041,657,5845,6664
ID,16043,998,5548,6719
ID,16045,1803,7951,9958
ID,16047,1256,4659,6050
ID,16049,1561,7826,9602
ID,16051,1658,12099,14171
ID,16053,1893,5734,7812
ID,16055,24312,62837,89878
ID,16057,10199,9463,20521
ID,16059,1032,3592,4738
ID,16061,349,1489,1870
ID,16063,414,1469,1940
ID,16065,2666,13559,17112
ID,16067,1550,6265,7993
ID,16069,6686,13738,20967
ID,16071,249,2148,2451
ID,16073,816,3819,4742
ID,16075,2161,8862,11293
ID,16077,865,2116,3086
ID,16079,1693,4216,6049
ID,16081,3318,2858,6347
ID,16083,9391,25897,36680
ID,16085,2976,3947,7063
ID,16087,1073,4154,5344
IL,17001,8569,24131,33434
IL,17003,2522,3056,5631
IL,17005,2275,5612,8109
IL,17007,10372,13762,24672
IL,17009,485,1930,2523
IL,17011,6545,10296,17182
IL,17013,674,2043,2767
IL,17015,2737,5098,8006
IL,17017,1615,3624,5325
IL,17019,55173,34774,93019
IL,17021,4286,11505,16094
IL,17023,1990,6215,8340
IL,17025,1129,5626,6896
IL,17027,4459,14264,19139
IL,17029,7997,13981,22470
IL,17031,1572859,517811,2123897
IL,17033,2198,7025,9419
IL,17035,1141,4595,5843
IL,17037,24484,21818,47717
IL,17039,2171,5623,7994
IL,17041,2327,6221,8746
IL,17043,269638,187957,467186
IL,17045,1869,6169,8152
IL,17047,488,2833,3368
IL,17049,3700,14983,19041
IL,17051,1815,8025,10033
IL,17053,1691,4956,6809
IL,17055,4690,13514,18488
IL,17057,6371,9798,16517
IL,17059,621,2019,2673
IL,17061,1349,4767,6224
IL,17063,9445,16372,26400
IL,17065,821,3429,4316
IL,17067,1114,5309,6565
IL,17069,0,0,0
IL,17071,1186,2391,3652
IL,17073,9762,15266,25624
IL,17075,2895,10858,14011
IL,17077,11104,10835,22575
IL,17079,1006,4492,5582
IL,17081,4597,12461,17409
IL,17083,2956,8699,11942
IL,17085,5097,7161,12477
IL,17087,1280,5052,6442
IL,17089,130069,96739,231734
IL,17091,20112,28410,49729
IL,17093,31394,28515,61327
IL,17095,10421,11818,22716
IL,17097,196479,120938,323706
IL,17099,21491,29482,52053
IL,17101,1414,4849,6379
IL,17103,6368,9584,16351
IL,17105,4568,12134,17049
IL,17107,3769,9042,13117
IL,17109,4973,7009,12290
IL,17111,73610,79396,156805
IL,17113,43719,40365,87013
IL,17115,19633,28373,48934
IL,17117,7313,16058,23919
IL,17119,56845,75272,135686
IL,17121,4396,12540,17214
IL,17123,2004,4196,6343
IL,17125,1984,4645,6756
IL,17127,1719,4989,6803
IL,17129,2003,4722,6889
IL,17131,3212,5328,8750
IL,17133,6489,14046,21024
IL,17135,3889,9504,13701
IL,17137,5020,9903,15229
IL,17139,1645,4938,6698
IL,17141,9300,16092,26040
IL,17143,42600,37612,82264
IL,17145,2609,7305,10060
IL,17147,3302,6219,9791
IL,17149,1458,6235,7836
IL,17151,432,1720,2172
IL,17153,891,1699,2631
IL,17155,1309,1978,3345
IL,17157,3590,11065,14896
IL,17159,1355,7988,9343
IL,17161,36647,28585,66750
IL,17163,66698,56000,125220
IL,17165,2786,8096,11079
IL,17167,48756,53303,104395
IL,17169,1064,2767,3908
IL,17171,569,2104,2730
IL,17173,2488,9396,12049
IL,17175,814,2000,2881
IL,17177,8756,12253,21446
IL,17179,24486,42194,68358
IL,17181,2575,6157,8896
IL,17183,10313,20710,31617
IL,17185,1248,4228,5592
IL,17187,3087,4671,7916
IL,17189,1639,6110,7914
IL,17191,1185,7172,8446
IL,17193,1517,5788,7428
IL,17195,12195,14472,27254
IL,17197,174226,149695,330593
IL,17199,10107,22681,33503
IL,17201,58791,60592,121966
IL,17203,5976,14590,21079
IN,18001,3236,10685,14238
IN,18003,72825,91885,168964
IN,18005,12934,22409,36299
IN,18007,1009,3007,4115
IN,18009,1376,3838,5354
IN,18011,15244,22351,38500
IN,18013,2996,5725,8886
IN,18015,2224,7086,9514
IN,18017,4301,10551,15185
IN,18019,23088,33656,58040
IN,18021,2549,9498,12277
IN,18023,3361,9334,12961
IN,18025,1369,3499,4975
IN,18027,2169,9576,11971
IN,18029,5444,19524,25355
IN,18031,2436,9570,12296
IN,18033,4966,14237,19656
IN,18035,20328,26724,48089
IN,18037,6292,15032,21805
IN,18039,25413,46311,73225
IN,18041,2237,7755,10146
IN,18043,17507,23385,41742
IN,18045,1627,6151,7978
IN,18047,2137,9691,12018
IN,18049,2274,6667,9110
IN,18051,4027,11817,16165
IN,18053,8015,18543,27230
IN,18055,3389,11103,14782
IN,18057,88367,101563,193823
IN,18059,12821,28816,42645
IN,18061,5334,14542,20198
IN,18063,32453,53688,88430
IN,18065,5543,15043,21020
IN,18067,13270,26400,40619
IN,18069,4254,13147,17809
IN,18071,4302,14555,19238
IN,18073,3798,11383,15495
IN,18075,1926,6361,8466
IN,18077,4731,9659,14725
IN,18079,2521,9488,12246
IN,18081,24729,51209,77784
IN,18083,4067,11654,16027
IN,18085,8350,26476,35846
IN,18087,2355,8110,10633
IN,18089,124801,91733,220233
IN,18091,22419,25991,49469
IN,18093,4961,15601,21071
IN,18095,19459,31153,51633
IN,18097,247265,133968,390405
IN,18099,5712,13841,19915
IN,18101,1011,4029,5155
IN,18103,3235,10925,14493
IN,18105,39855,22062,63020
IN,18107,4212,12659,17197
IN,18109,7777,27510,36214
IN,18111,1509,4942,6591
IN,18113,4660,14195,19217
IN,18115,750,2392,3164
IN,18117,2224,6432,8830
IN,18119,2419,7285,9915
IN,18121,1503,5398,7020
IN,18123,3202,5343,8734
IN,18125,1415,4692,6220
IN,18127,39537,44899,86089
IN,18129,3811,9206,13264
IN,18131,1463,4246,5813
IN,18133,3946,12278,16595
IN,18135,2512,8312,11078
IN,18137,2774,11261,14264
IN,18139,1754,6035,7932
IN,18141,59870,53152,115547
IN,18143,2698,7328,10176
IN,18145,5023,14568,20017
IN,18147,3208,7354,10781
IN,18149,2650,7466,10309
IN,18151,4509,11322,16175
IN,18153,2153,6687,9004
IN,18155,964,3133,4152
IN,18157,34993,34571,71395
IN,18159,1834,6110,8124
IN,18161,736,2687,3491
IN,18163,34404,41838,77563
IN,18165,2145,5184,7480
IN,18167,18080,24512,43593
IN,18169,3494,10762,14598
IN,18171,974,3401,4473
IN,18173,11919,21324,33884
IN,18175,2783,9112,12126
IN,18177,9524,17567,27662
IN,18179,2928,10855,14080
IN,18181,2868,7353,10402
IN,18183,4233,12856,17581
IA,19001,1197,2917,4183
IA,19003,590,1528,2158
IA,19005,2575,4733,7459
IA,19007,1891,4512,6506
IA,19009,1071,2295,3416
IA,19011,5156,9179,14627
IA,19013,35621,29623,66549
IA,19015,6303,8695,15306
IA,19017,5954,8287,14534
IA,19019,4169,6420,10764
IA,19021,2919,5004,8072
IA,19023,2424,5542,8084
IA,19025,1470,3689,5249
IA,19027,3454,7737,11306
IA,19029,2201,4969,7266
IA,19031,4337,6161,10703
IA,19033,10941,12435,23794
IA,19035,1936,4495,6503
IA,19037,2233,4308,6617
IA,19039,1466,3140,4666
IA,19041,2662,6137,8948
IA,19043,3340,6106,9581
IA,19045,10806,13349,24669
IA,19047,2220,4854,7146
IA,19049,26879,27987,55847
IA,19051,1013,3032,4099
IA,19053,1120,2615,3801
IA,19055,3157,6666,9981
IA,19057,8887,10589,19947
IA,19059,3661,7438,11230
IA,19061,25655,27214,53924
IA,19063,1520,3265,4850
IA,19065,3834,6145,10184
IA,19067,3168,4730,8026
IA,19069,1626,3422,5119
IA,19071,1078,2711,3855
IA,19073,1768,3221,5054
IA,19075,2206,4929,7260
IA,19077,1985,4272,6369
IA,19079,2842,4956,8516
IA,19081,1683,4390,6161
IA,19083,2976,5850,8975
IA,19085,2440,5569,8144
IA,19087,3275,6507,9964
IA,19089,1772,3127,4952
IA,19091,1442,3819,5321
IA,19093,917,2876,3845
IA,19095,3547,6009,9716
IA,19097,4029,6940,11118
IA,19099,7737,12082,20181
IA,19101,4314,4442,8952
IA,19103,59177,22925,83570
IA,19105,4213,6572,10965
IA,19107,1414,3797,5291
IA,19109,2696,6275,9077
IA,19111,6539,9763,16721
IA,19113,70451,53098,126716
IA,19115,1726,3500,5326
IA,19117,1284,3287,4630
IA,19119,1067,5707,6852
IA,19121,3134,6507,9806
IA,19123,2894,8297,11381
IA,19125,6170,12657,19217
IA,19127,8171,9564,18122
IA,19129,2500,5572,8247
IA,19131,2053,3677,5815
IA,19133,1407,3248,4714
IA,19135,1078,2975,4085
IA,19137,1583,3659,5320
IA,19139,9372,10823,20629
IA,19141,1569,5861,7541
IA,19143,600,2688,3325
IA,19145,2081,5314,7509
IA,19147,1519,3370,4950
IA,19149,3494,10492,14165
IA,19151,932,2825,3821
IA,19153,146250,106800,257991
IA,19155,18570,26241,45733
IA,19157,4306,5657,10124
IA,19159,708,1964,2709
IA,19161,1389,4061,5527
IA,19163,46890,43661,92639
IA,19165,1959,4697,6781
IA,19167,3019,15680,18956
IA,19169,28975,20200,50668
IA,19171,3577,5303,9026
IA,19173,746,2463,3242
IA,19175,2061,4010,6171
IA,19177,875,2859,3788
IA,19179,5821,9516,15613
IA,19181,12537,17738,30955
IA,19183,4558,6966,11757
IA,19185,727,2338,3103
IA,19187,6604,10927,17802
IA,19189,2135,3707,5951
IA,19191,5617,6235,12036
IA,19193,18704,25736,45172
IA,19195,1596,2738,4414
IA,19197,1996,4136,6242
KS,20001,1559,4155,5842
KS,20003,765,2874,3720
KS,20005,2314,4826,7312
KS,20007,284,1992,2313
KS,20009,2302,8480,10961
KS,20011,1505,4910,6550
KS,20013,1088,3206,4396
KS,20015,9003,22250,31946
KS,20017,341,1114,1478
KS,20019,212,1397,1634
KS,20021,2163,6622,8945
KS,20023,220,1158,1400
KS,20025,143,885,1048
KS,20027,883,3129,4134
KS,20029,893,3182,4174
KS,20031,928,3407,4448
KS,20033,126,745,904
KS,20035,4171,9442,13911
KS,20037,5971,9752,16125
KS,20039,208,1232,1458
KS,20041,2040,7045,9246
KS,20043,678,2949,3674
